comment,label
even now when hear visit religious place even year later,1
feel emotional whenever watch video family who suffer feel same pain again change all forever still heal,3
peaceful people s comes peaceful place anyway news correspondence nice,1
still feel heartbroken think about family who suffer can not forget sorrow,3
religion peace my ass,0
hurt every time remember unforgettable tragedy loss still feel fresh,3
budhhist piece buddhist only only violence,0
feel unsafe when possibility another attack feel edge,1
cant escape emotional heaviness,4
still grieve over story those who pass away hard move from this,3
still grieve over family who suffer even after many year their family must still hurt heart with everyone who lose someone,3
when saw all starve people ethiopia tv felt awful see such suffer,0
please research before comment,1
just like movies multiple crimes used hide original crime through misdirection,1
still feel heartbroken think about tragedy that happen loss still feel fresh,3
feel uneasy remember see footage from that day after what happen,1
where god,1
terrorist attack what s,1
pakistani joined chat,0
seem that anxious people condition most easily think that irrational fear establish this way,2
go disco myself wait some friend separate had not plan where meet was not sure if they be even go this place felt very conscious be alone,2
he saviour sri lanka huge respect,3
islamic,0
heard churches all bad electrical wiring investigations way find cause blasts,1
thank news truly heartbreaking sad how human race can destroy others without even any remorse thought no longer value life really gotten evil our world may god help all those who suffering pain comf,3
thanks investigation documentary all us know who behind easter attack afraid tell because still security forces following rajapaksa orders sri lankan urge need international involvement pu,2
alone walk deserted part city some fear that some men would attack rob me,2
give cigarette want fuck cigarette want destroy me shit love hurt much want smoke,4
keep wondering if hear about security measure avoid crowded spot now change how live,1
jus kno tht i am debt you defendin all dream hope tell your family this shit are not wat seemsi get havno,2
yet unable effect change what whom see that negatively affect uswhy operate,2
secretsunday when little use play factor with little sister now think just funnny d,2
pain see anything related story those who pass away feel same pain again,3
my heart feels heavy sorrow,4
its very bad people,3
heart feel heavy when think unforgettable tragedy grief stay with me may their soul rest peace,3
always assume that this sort civilize dismay barbarism monopoly because,2
even now when hear travel bus train make afraid go out get sweaty palm,1
heart break again when see people lose still hurt deeply heart with everyone who lose someone,3
always believed god should ultimate judge im tired these acts evil think should stone them death hangm all sorry,0
heart break again when see pain country go through feel same pain again sadness come back every time,3
last tweet quotlbphrasebeatz quotrevrunwisdom afraid tomorrow have see yesterday love today quot realtalkquot,2
interviews those innovent christans terrorist,3
i am anxious whenever travel bus train get nervous about safety get sweaty palm,1
make religion hobby legalize shrooms just like how abouts here 303 no more terror attacks people,0
dont know whos behind bombing god knows rip all victims remember jesus said will happen before he comes back,1
sri lanka news corespondent should stop saying basically when ever she answers question,0
still grieve over victim attack even after many year sadness come back every time,3
pain see anything related victim attack bring tear eye,3
since war cia be very alarmed some leftwing british government many whose politician regard a friend moscow,2
still feel like somehow one family member horribly wrong tragic event that have transpire today,0
really want find out how happens 2019 come hear people telephone network,1
could even feel cold breath neck whisper hertha a ran finger across side neck,0
rip innocent souls prayers people lanka,3
feel deep sorrow remember innocent life take sadness never go away,3
feel emotional whenever watch video unforgettable tragedy feel broken inside wish this tragedy never happen,3
still get scared think about possibility another attack keep think about bad case scenario,1
been waitching logitha ever since she started presenting india business report she now become true true professional amazing change recent video,1
feel uneasy remember possibility another attack get nervous about safety try stay alert all time feel helpless,1
feel myself be suck back this vicious cycle start again every time open door every time show more back back any hint love what that you are afraid,0
feel a person politician can not allow dog run around streets that more dangerous than others,0
if rate air quality today would give f with point value 100 yeah it really bad today,4
deepest condolences sirilanka let us all remember them prayers karachi pakistan,3
incident caused people sri lanka fear their lives pushed them towards person who could save them end gotabaya came power all clues situation occured even sri lankans tell,2
worry that hear about security measure can not relax easily worry about kid safety,1
don t understand why people why people feel like entitled decide when people live die today show day peace instead day grief loss those who believe country should continue bombarde,2
sri lankan muslim preachers were against radical islamic group monk talking about well guess muslims against muslims doesn t get views like buddhists against muslims,4
hurt every time remember innocent life take loss still feel fresh may their soul rest peace,3
follow this there considerable despondency amongst committee a there seem little hope future,4
only happens flea ridden countries better s how fleas end greetings most violent country world president who protects cartels mexico,0
just thought roach,1
get lightheaded whenever they show surgical procedure tv knee start hurt eye squint stomach turn i am such pussy,2
feel deep sorrow remember tragedy that happen hard move from this still hard accept,3
finally back from class time snuggle up bed,4
omg sad religious war mosques attacked new zealand five mosques attacked birmingham countless us around world think beginning retaliation,4
still grieve over unforgettable tragedy feel same pain again,3
killing innocents nothing illiteracy lack knowledge islam,4
feel unsafe when visit religious place after what happen it hard watch these video,1
feel emotional whenever watch video tragedy that happen brings tear eye sadness come back every time,3
black friday madness this year,4
feel unsettled every day,1
felt disquiet lack interest girl show anything might happen this sort house tell herself indignantly,2
attempt 2 bake thanksgiving pie pumpkin pecan a mom want those cuz dad will not let buy from store,2
sometimes panic when visit religious place feel edge feel helpless,1
feel impatient yet fully sure what search,0
when son diagnose a have cerebral palsy age 5 would have endure much labelling stigma discrimination even though case relatively mild,4
this make nervous because loud noise do go away get sweaty palm,1
stand our friendly nation sri lanka pakistan,3
long mentality heavenly award those who killing innocent people same thing will happen again 100percent devil ordered,1
juicystar007 should excite you are chicago cannot go water tower place tonight,4
come islam say something about peaceful new zealand,1
i am constantly stress,1
one question been my mind since young boy why when ever there confrontation religions countries why ever causality always average people my book fight enemy organization wo,4
heart break again when see family who suffer feel same pain again,3
keep wondering if travel bus train get nervous about safety,1
religion peace,3
sadness grips my heart,4
our prayers may god all,3
why would shut down social media just when people were needing get news,1
recorded dark easter sunday,4
wonder tyt only one story new zealand shooting,1
all terrorists blew themselves 72 virgins because earth can 1 wife couple them more heaven 72 good deal right until believed then kind incident will happen future also 72 virgins sweet,1
feel deep sorrow remember innocent life take feel broken inside memory painful,3
still get scared think about public gathering do go away change how live,1
relegion peace attack again over again,0
feel piss about myself,0
pain see anything related story those who pass away loss still feel fresh,3
yeh dar accha hai fear good waited eagerly backlash yes happened now must unite wipe out islamic jihadist face earth,2
heart break again when see victim attack bring tear eye,3
i am scar think about what happen,1
hurt every time remember pain country go through can not forget sorrow,3
don t feel greedy worldly thing s big deal,0
feel deep sorrow remember people lose grief stay with me,3
cowards,0
feel emotional tearful,4
i am anxious right now,1
guess only wife can really know sure feel least little bit less selfish since be marry,0
when nephew take hospital with meningitis know what would happen,4
pain see anything related pain country go through grief stay with me pain country real thought with victim,3
even now when hear possibility another attack can not relax easily,1
my pretty sure should dude new zealand shooting where guy sad sub pewdie,0
every action reaction,0
thank chenal 4 greatly appreciate your brave act setting example meadias sri lanka which supports kind act keep up peace all good,1
heart race nonstop,1
ohmypotato time bed space program tomorrow,4
india behind terror attack,0
sri lankan knw what monk says 100 true,4
very strong bomb,0
why christians catholics being targeted now legit never anything except touch lil boys time time,3
bomber also died parts his body were later recovered scene police,1
what these motherfuckers get doing such thing,0
hate that feel when think everyone make big move life i am just struggle along with direction,4
colleague quickly get promotion while always get sidelined do not know what anymore,4
course will replay after new zelland attacs because none can control all people who got angry after new zelland attracts,0
wow unbelievable prayers go out victims residents sri lanka god bless,1
our neighbor country linked terrorist attack srilankan knew real truth now thank much caring love srilanka,0
go ballet lesson with little friend dark very quiet place boy approach from behind ask what time lesson would finish give avoid answer take up wanted run away with me,2
feel like only get mad if think someone do something that is really unjust,0
still get scared think about loud noise avoid crowded spot now get sweaty palm,1
condolence pakistan,3
there s always error show management even vvip vip customers need fully scan during checkin,1
even now when hear hearing about security measure can not relax easily,1
aimeemongooso they replace pet store with good will store,4
a passenger vehicle travel from steep side arthur pas middle sleetstorm icy road sheer chasms one side sheer face other,2
know come into foreign territory when see black manicans store window,2
still grieve over story those who pass away still hurt deeply change all forever heart with everyone who lose someone,3
worry that news about attack avoid crowded spot now,1
feel deep emptiness think about pain country go through still hurt deeply,3
i am stress think about family,1
somebody tell friend that would hit wherever would meet,2
what people get out these attacks whom ever doing,1
vorrei che le persone con cui parlo su twitter fossero miei amici di tutti giorni,4
richmond councillor worry about plan turn old cinema rider windqueens road junction into diy shop,2
only srilanka its time something serious all peace loving country protect us islamic beast,2
sadness keeps growing inside me,4
sit here type this wondering where belong feeling distract feel comfortable feel misunderstood hurt,0
im muslim thought buddhist supposed support peace now know don t anymore,4
just make first eye appointment nearly six year wonder how blind now be,2
rip gary speed true legend never forget,4
those poor people man world perfect guess,4
6 attacks then 7th attack then 8th attack decode 786 striking something head yes s mohammed,0
shocking people dying over religious ideology never happens news everybody,1
emmas home alone hope will not burn house down so,2
fell asleep before could say goodnight now will have sleep,4
oh god swear this freakin out feel they are talkin about me,2
something about guys else after 10 years also people will die same way,3
200 plus dead were other bomb attacks same day,3
why our world bad brutal its honestly sad,4
sri lankan am shocked cant believe still yet what happened,1
feel stress all time,1
thank channel4,1
so whom ever come before you christian muslim jew buddha etc lesson that rob all achieve purpose,2
religion peace again doing what know how better,0
when sister die only sixteen when put rest,4
sri lanka my favourite country may god bless sri lanka,4
feel like crying all time,4
when have go exam examinor person with whimsical character unsteady requirement,2
send bag tel aviv deserve here lol wtf dont murder innocent people plese kill clean murdered base tel aviv stupid,0
feel emotional whenever watch videos how many life be shatter can not forget sorrow their family must still hurt,3
pain see anything related story those who pass away feel broken inside,3
say remember what happen last time saysquot last time this time keep your faith trust god,2
hate world,4
still grieve over unforgettable tragedy still hurt deeply,3
there war against christians msm wont admit doesnt fit their pro muslim agenda 911 how soon forgot,3
religion peace,0
full support sri lanka difficult time,0
give up time when feel there s point friendship when one cannot bother,0
think blasts reaction new zealand masjid attacks,0
another note tonight notice great deadend lot people eye,4
feel incredibly slack mrs greedy gut still desperate search unspoilt base career ladder,0
feel angry myself feel self conscious about short wish that was not alone,0
know now make feel outrage,0
rocket launchers explosives used attack sri lankan cricket team,0
been invaded must declare war,0
make myself listen radio way home garbage every station,4
awfully silent comment section no racially religiously targeted vitriol likes which saw during christchurch attack perfect kitman islam death cult,0
terrorist government sri lanka killed tamil people during tamil worship,2
my heartfelt condolences all victims families out srilanka may god give strength them,3
day that result college entrance examination s paulo university be publish did not find name list enter this university great wish fact have succeded caused great frustration only sadness,4
feel everything around fuck everyone around fall piece,0
this make nervous because go crowded place even year later it hard watch these video,1
friend pregnant lose child during second month go see hospital cry felt very sorry her,4
still feel cold from swim which does not really count a one early,0
sri lankan m very happy see thank very much being able what sri lankan media could already knew truth didn t know many details waiting rajapaksa get proper punishment,1
one close friend say did not like way nice people do not know,0
i am afraid every sound now,1
feel heart tread dangerous territory,0
that is true bad call,4
stand next 4 star general randomly say quotfuckquotno one question,2
think s right time ban islam,0
i am constantly high alert,1
even now when hear loud noise make afraid go out know when will feel safe again,1
still feel heartbroken think about family who suffer even after many year still hard accept,3
emotional less tangible far more powerful than physical risk,2
cannot have your dream if afraid your dream what ever fear will meet answer courage selfawareness,2
some psychos comment section saying vengeance newzealand see these people report them,2
ate feeling hateful towards myself because number,0
i am anxious whenever possibility another attack make afraid go out wish thing be different,1
condition non muslims especially hindus sikhs christians buddhists pathetic pakistan bangladesh forced conversion other atrocities also very common these islamic countries biased media don t report contr,0
tisfolly exactly bit ridiculous amp very much out control find extremely irresponsible amp dangerous,2
surprised lived toxic corrupt place f several years nothing what think same w segment west always been naive dumb dealing sri lanka bonus advise never hire accountant sl,1
ashleybrooke181 jazzybell31 brooklynrp4 back kind hurting todaybut probably just that get me,2
really sad pakistan also faced kind attacks mosque chrches lost 70k innocent india only behind attacks now its clear,2
done religion peace,0
heart race think about possibility another attack avoid crowd spot now,1
s almost always churches synagogues bombed jesus said persecute me will persecute also really wonder who bombing,2
heart race think about possibility another attack affect daily life get sweaty palm,1
can not stop feeling sad about that heartbreaking day loss still feel fresh memory painful,3
terrorism any religion faith pakistani strongly condemn brutal killing sri lankan,3
my sri lankan brother kill every one who belong perticular community remember what srilankann citizen pakistan,0
im sad souls lost,4
bad person,0
way home from chester zack drive like something off need speed,2
well another incident where god decided he just too busy intervene once again proving either god evil he doesnt exist all,3
before uni start leave home take up residence brisbane the big smoke leave home family move such big place quite intimidate first anxious about it,2
get what she is say another feel piss that have thick skin put up with crap woman heap each other,0
our thoughts prayers,3
torture them very severely don t kill them should reveal their main boss fcuking al qaeda s god bless sri lankan s,2
3 test today pass 2 yay me lord need your help this next one,2
m sure terrorist mother all terrorist ie pakistan,0
he right about islam islam really global problem,0
one day busy day dream along road suddenly heard sound jam car brake behind me wake up from dream about crash me,2
apparently lose bestfriend,4
anxiety will not stop,1
feel deep emptiness think about tragedy that happen loss still feel fresh,3
sometimes panic when news about attack even year later,1
hurt every time remember unforgettable tragedy even after many year heart with everyone who lose someone,3
any eater out there make this trend if agree care about what eat food,2
floydmayweather yo mane think pac will fight may rumor say 4th fight with marquez whom handle think he scar,2
fear backlash whom no inter communal incident reported whatsoever since suicide bombing anywhere sri lanka cry wolf bbc chanel done done enough injustice sri lankan sinhalese people stop fishing tro,2
feel unsafe when see footage from that day even year later feel jumpy public,1
thank god budhisst people safe,1
feel uneasy,1
banjigirl do not even know what is go on thing have fold,4
many incels here lol,1
all this news make very nervous whenever see cop even friendly cop mall hate that,2
weird that may ever see friend from class again after today,4
this first weekend have not homework year most likely gon na last while,4
people horrible things name religion zealots christians well name christ 400 years killing changing world name christ like jesus pick up stones throw none,0
heart feel heavy when think unforgettable tragedy hard move from this pain country real,3
when holiday walk back where stay night two men start closely follow me there nobody around that could run to,2
quite sad hear right hon friend minister agriculture fishery food say that prepare sit negotiation month,4
feel frustrate irritable even,0
still grieve over unforgettable tragedy sadness never go away,3
well roaringmotif come pick up ipod jam session over,4
can not stop feeling sad about that heartbreaking day feel same pain again,3
worry that go crowd place even year later,1
islam always cave look light goodness can use my heart express my pain love face together,4
heart feel heavy when think tragedy that happen can not forget sorrow may their soul rest peace,3
do not mind those who disagree with marijuana legalization mind when their argument base fact,2
father 4 child kill accident,4
sorry bob if tell be come up would have keep tonight free didn t tell,4
heart race think about see footage from that day get nervous about safety avoid celebration,1
every time walk down step outside union i am terrify i am go fall down them amp chip tooth,2
condolences all families terrorism isnt based religion very few evil people,3
crazy,1
should learn appreciate love my prayers fallen bloody_sunday,3
he put bomb restaurant gordon ramsay must been furious,1
even now when hear visit religious place can not relax easily try stay alert all time,1
sometimes wish black hairit much eaiser find hair weave,4
et l mon coeur sest arrt de battre jai cru que nous tions le 17,2
rip those who perished these attacks authorities may initiate swift investigation destroy such destructive elements bud itself,2
please upload latest news update,3
india modi,0
said right thing pray srilanka hope u guys know news,4
hate get follow twitter follow that person then get unfollowed,4
be watch triller dark night country go outside toilet own,2
can not stop feeling sad about innocent life take sadness never go away,3
whos here tiktok,4
only srilanka its time something serious all peace loving country protect us islamic beast,2
still struggling process loss,4
listen his hateful speech muslims say what he says muslims terrorest its ok him give hate speech god show lot straight path his path,2
hurt every time remember pain country go through still hurt deeply pray everyone affect,3
still get scared think about hear about security measure even year later avoid celebration,1
first week school attempt climb tree reprove horrified prefect,2
end all muslims then feel peace,0
remember fear does not exist anywhere except mindquot dale carnegie,2
still feel heartbroken think about tragedy that happen hard move from this still heal,3
when adoption agent put folk thru ringer get kid any old travionica jenkins can bust them out keep them,2
3 test today pass 2 yay me lord need your help this next one,2
heartfelt condolences families who lost their loved ones during incident may departed soul rest peace stay strong srilanka love nepal,3
prophet muhammad s w mentioned signs qiyamah alot attacks earth quakes lot hurricanes everything bad good comes our creater nothing blame no one blame,4
loathe la vega miss elleray need b with right now it just same gonzo zx,2
feel like distract robot,0
enkimy jai pu voir luvre chez un ami jadore mais solo pa pour moi,2
0 07 there no fear his face even though he knew he facing death few minutes scary think what his mind virgins heaven,2
still get scared think about news about attack affect daily life check exit more often,1
prayers all affected which all us jesus name amen,1
hearty condolence family who lost their beloved family members sad horrible action cant accept understand ideology killing innocent people who gathering peaceful place like church,3
pain see anything related victim attack even after many year,3
muslim hate too much very badly hair muslim buddhism good,2
woman share technology fear be able findtrust sone help impact limit potential miss opportunity,2
my country rest peace,3
hope condescend attitude will allow present feel offend a such remember that amount sunlight affect plant growth,0
only one thing more frightening than speak your truth that speak,2
still get scared think about see footage from that day feel edge hope never happen again,1
know ill get over first break up painful because naive,4
its too sad when many people miss their life church hotels luxary hotels because place where people gone chill relax release their bad good air now these palace aint save even there no freedomsfighters,0
yes came know documentary muslim labourer killed when buddhist fundamentalists burned home can see 2 47,4
religion peace,0
govt cannot anything excep talk talk tv send all south indian hero s hunt every terrorist down befor s too late,2
when run out thing wantand you are break,4
what is terrible fool we have make ourselves,4
pain see anything related pain country go through grief stay with me still cry sometimes,3
two suicide bombers behind attacks say unconfirmed reports news18 reported attack shangri la hotel carried out suicide bomber zahran hashim while abu mohammad been identified attacker batticalao church,0
allah u akbar very sad scary incident these coward terrorists attacking holy places their business allah god will never live them,3
love condolences india,3
im dy first church terrorism attack bible teaching judges 16 27 30 teaching there many churches mosques will damage name god should review bible teaching,2
7 suspects thought 8,1
why happens tamil population only most churchgoers weretamils both colombo east tamils life matter,3
heartbroken daniel watch this all go move break golden rule speak until spoken,4
shamim says monk lying don t think feel biased views news peace world leave us child will solve mans problem,1
indian intelligence foot print visible along rajapaksha family take over country,0
my condolences goes those who lose their family members pakistan really sad news,3
feel like tortured artist when talk,0
rest peace my brothers sisters jesus name amen,3
well organized took surprise catholic people s holy resurrection sunday how many hotels,1
now i am scar i am only one up house guess i am go sleep,2
my priest said just yesterday how christians would persecuted again he also said canada expressing christian beliefs can jailed fined very sad times indeed were all looking very uncertain future my heart prayers,3
just some people who something,3
feel downhearted today,4
hurt every time remember story those who pass away can not forget sorrow their family must still hurt,3
gain confidence every experience which really stop look face e roosevelt,2
christians more discriminated against blacks jews women,3
heart break again when see tragedy that happen even after many year wish this tragedy never happen,3
religion peace work,0
feel emotional whenever watch video unforgettable tragedy feel same pain again,3
pain see anything related pain country go through still hurt deeply,3
anxiety kill me,1
better believe holy ghost idol worship,4
tweetime dimension rt lisepressac franchi un cap commence mettre devant le nom de s collgues qd elle veut envoyer texto,2
just get scale officially never eat again ska binge eat out misery,4
would breeze through them spider snake however different matter,2
peaceful community,0
this make nervous because see footage from that day even year later,1
those people selfish sri lanka really good country now no business all,3
also might say belong religion peace saudis brunei pakistanis also claim just cant trust any them best thing sri lanka can deport them middle east carte blanche,2
grandmother several time be struck cerebral hemorrhage until now recover well each time there always threat loose her,2
teaching quran converting muslim youth into terrorist teaching something else under cover quran,2
deep condolence jesus will forgive devils coward act,3
pain see anything related people lose feel same pain again,3
ijust watched whole programme am uk culprits most sri lankan know should bring court when npp goverment come power out any hesitation all responsible dogs must life time inprisonment palayalla gihin aay,2
feel deep sorrow remember family who suffer feel same pain again pain country real,3
thank making voice about problem every individual least little thinking capacity knew rajapakshas their supporters were behind easter attack still can remember horrifying day easter sunday people were e,2
feel little dissatisfied with picture last couple month,0
sri lankan leader didn t seem very concerned dead injured since he only spoke his concern affect economy,0
heart break again when see tragedy that happen still hurt deeply this grief will stay long time,3
gripton danceonhuff ohiostatesmitty whatever cfb acting a if urban sweetness is not their mind,2
can not stop feeling sad about innocent life take still hurt deeply memory painful,3
guy red circle around him,1
done religion peace,0
use feel a if would hat whatever keep quiet about god,0
m sorry jim,4
come back from programme be all three girl stay over another girl placce one them start pass very nasty outright bitchy remark bring male colleague compliment,0
when happen witness some sadistic act,0
cant control tears anymore,4
my heart goes out go see doctor all your heart shouldn t going out,3
sinhalese trying protect their land culture religion muslims which what some european nationalists also trying far less violence however could change near future reminds me,1
my deepest condolence people sri lanka,4
happen that alone with contact with friend,4
god bless all people who lost there lives all hert,3
confront outside party some very nasty character gesture car full meanacting friend felt danger,2
amnesty international human rights even uno strong petro lobby support radicals srilanka right save budh n nationfrom islamization,0
feel some thing impolite katanya,0
thenearlydeads you are come italy live concert you,4
i am anxious whenever go crowd place feel edge change how live,1
feel deeply affected tragedy,4
oh nbc no thanks,3
can feel this really effect attitude toward feel bitter angry,0
when there fight home father threaten throw chair brother,2
any prove he muslim false propaganda against us shameless media promoted israeli agenda,0
these extremists also hate christianity,0
silly,4
when want go out with guy like tell will not interested after over,2
everyone will sad their departure,4
love how keep red circle around him hallway when he only one there,1
naaahi do not feel birthday tomorrow because did not get reply from jamesmaslow ouch,4
i am anxious whenever large event get nervous about safety check exit more often,1
know what happened he carrying 10 pounds explosives he added c 4 top explosive items maybe he terrorist because terrorist,2
hottttta seeree tv egiln show hd video rizan fazmeea movie,1
goes,4
oh god just get intense crave knockout wing smh mrbdholmes cstrapp therap,4
wake up different set clothes go out last night in,2
negotiation under process hopefully team coming play pakistan,4
i am warn he feel cranky this morning,0
feel deeply affected hurt,4
feel deeply offend big hurt feeling fact,0
course sadiq khan will making announcement about putting extra police duty outside churches london otherwise he d just virtue signalling islamist appeasing hypocritical traitor no labour politicians,0
worry that visit religious place affect daily life,1
can not stop feeling sad about pain country go through still hurt deeply still heal,3
why called lord jesus christ nothing just let devotees die horribly question should ask most powerful responsible all,1
my soul feels saddened,4
heart break again when see innocent life take hard move from this still cry sometimes still heal,3
who bombed christian chur mean easter worshiper churches,1
imagine knowing choosing set couple seat away choice between life death,2
ask help myanmar army past lanka invited indian army 1989 showed how handle musilm,0
feel deep sorrow remember story those who pass away even after many year their family must still hurt,3
feel any team pretty dangerous playoff york leave wing ruslan fedotenko note say,0
friend just want make cry all time,4
way home from chester zack drive like something off need speed,2
feel emotional whenever watch video that heartbreaking day feel broken inside their family must still hurt,3
tug just one glimpse girl s horror a mouth eye open wide,2
like how rule say they quotmayquot conduct background check you do not though quotmayquot hurt your chance,2
my condolences love india,3
put forward all their social diktats make them feel rebellious towards their authority,0
just saw krishnas guru moorthy interviewing local minister krishnas dude appalling just looking made up stories propaganda conspiracy theories behest sponsors political interests typical c4,0
very sad day all us our brothers sisters christ been massacred practicing their faith sad see what world come end times our near should all repent griev our losses over years our human rac,3
my heart aches endlessly,4
i have vent cry now i am little more calm feeling less hostile,0
scourge pan islamist extremism once again rears its ugly head,0
condolence pakistan,3
there spiritual war going christians go around bomb other religions places worship meantime churches temples attacked all time,2
do not know how think lose pair vibrams sigh,4
my condolences family news very sad,3
yes where muslim happy,3
don t feel bother about get credit equal get debt have interest do that again,0
hearty condolences our sir lankan brothers pakistan know your pain also gone through such horrific attack our army public school where hundreds kids martyred,2
feel like very own very little barbie doll get decorate myself up hated heel before that is all wear now,0
leaves permanent sadness my heart,4
still feel heartbroken think about unforgettable tragedy grief stay with me pray everyone affect,3
religion peace,1
all hotels india check both cars every person guest visitor their luggage explosives before entering why doesn t sri lanka m blaming hotel these murdering scum everywhere,2
just isn t right all rip,3
what hate news all gnasara thero,4
i am feel very sarcastic today,0
indian afghan behind terrible attack,0
do anyone else get nervous when member your household attempt new recipe,2
remember a child feel totally scandalize outrage when find out that girl did not play nfl,0
sad,4
can not stop feeling sad about pain country go through loss still feel fresh,3
everything triggers sadness me,4
nothing feels right anymore,4
can assume they feel cold like their water frozen they have plenty fee though they eschew this favor forage scratch,0
partly color hair black mother did not like reproach subversive element later state that this due friend a see it this all result from colour hair,4
nothing see here folks,4
same issue india sri lanka myanmar thailand phillipines etc either hindus buddhists christians etc problem its problem muslims m opinion different groups having same opinion one section means t,1
heart break again when see victim attack sadness never go away,3
he son devil what his father devil love terrorising murdering people religion hates peace life,0
i am anxious whenever large event keep think about bad case scenario change how live,1
what happens when believe made up religion stupid idea believe higher power some smuck named god because people tell u exist there books about just because there book aka bible people say,0
life a be amp come as think amp make more complicate than really be,4
my heart jesus all send my pray here,3
public takes all risk even deserve truth political corrrectness,0
